Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search,Chrome 115.0.0.0,,,2023-07-30 17:33:03,2023-07-30 17:34:27,1m - 24.343s,FAILED
,,,,,,,
Test Cases/Search_ResultMessage,Chrome 115.0.0.0,,,2023-07-30 17:33:03,2023-07-30 17:34:20,1m - 17.605s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-30 17:33:03,2023-07-30 17:33:10,7.154s,PASSED
"navigateToUrl(""https://www.wconcept.co.kr/"")",Chrome 115.0.0.0,,,2023-07-30 17:33:10,2023-07-30 17:33:40,30.034s,PASSED
"setText(findTestObject(""Page_Main/input_text""), ""클리어런스"")",Chrome 115.0.0.0,검색창에 키워드를 입력한다.,,2023-07-30 17:33:40,2023-07-30 17:33:44,3.820s,PASSED
"click(findTestObject(""Page_Main/button_Search""))",Chrome 115.0.0.0,검색창에 돋보기 버튼을 클릭한다.,,2023-07-30 17:33:44,2023-07-30 17:34:17,32.313s,PASSED
"verifyElementPresent(findTestObject(""Page_SearchResult/element_SearchResultMessage""), 0)",Chrome 115.0.0.0,검색결과 페이지에 검색결과 메시지가 표시 되는지 확인한다.,,2023-07-30 17:34:17,2023-07-30 17:34:18,1.824s,PASSED
"verifyElementText(findTestObject(""Page_SearchResult/element_SearchKeyword""), ""‘클리어런스’"")",Chrome 115.0.0.0,검색결과 메시지에 입력 키워드가 표시 되는지 확인한다.,,2023-07-30 17:34:18,2023-07-30 17:34:20,2.111s,PASSED
,,,,,,,
Test Cases/Search_ProductList,Chrome 115.0.0.0,,,2023-07-30 17:34:26,2023-07-30 17:34:27,0.718s,FAILED
"verifyElementPresent(findTestObject(""Page_SearchResult/element_ProductList""), 0)",Chrome 115.0.0.0,검색결과 페이지에 아이템이 노출 되는지 확인한다.,,2023-07-30 17:34:26,2023-07-30 17:34:26,0.271s,PASSED
"dragAndDropToObject(findTestObject(""Page_SearchResult/button__NextPage""), findTestObject(null), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-30 17:34:26,2023-07-30 17:34:27,0.431s,FAILED
